,User_1,User_2,User_3,User_4,User_5,User_6,User_7,User_8,User_9,User_10
"Education Administrators, Kindergarten through Secondary",4,5,2,0,1,2,4,5,1,1
"Education Administrators, Postsecondary",5,5,0,5,5,4,3,5,1,2
"Educational, Guidance, and Career Counselors and Advisors",5,5,0,2,3,2,4,5,1,2
Health Education Specialists,5,2,0,1,4,3,2,1,4,5
"Directors, Religious Activities and Education",4,3,5,1,2,0,4,5,3,2
"Education Teachers, Postsecondary",3,4,2,0,0,5,1,2,3,0
"Health Specialties Teachers, Postsecondary",1,3,5,2,0,1,3,3,4,1
"Library Science Teachers, Postsecondary",3,5,5,1,1,3,0,4,0,2
"Law Teachers, Postsecondary",4,5,4,0,0,5,1,3,4,1
"Social Work Teachers, Postsecondary",0,3,3,0,3,2,4,2,5,2
"Communications Teachers, Postsecondary",5,4,2,0,0,0,4,4,1,2
"Geography Teachers, Postsecondary",4,5,3,1,0,0,5,4,3,2
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",5,0,0,1,3,4,5,1,0,0
"Special Education Teachers, Secondary School",1,2,5,4,3,0,0,1,2,4
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4,3,5,1,2,0,0,3,3,4
Self-Enrichment Teachers,3,2,5,4,0,3,1,5,2,3
Tutors,3,2,0,5,5,2,2,3,0,1
Instructional Coordinators,5,5,1,2,4,0,4,4,4,5
"Teaching Assistants, Postsecondary",0,2,3,3,1,0,0,0,5,4
"Art, Drama, and Music Teachers, Postsecondary",3,5,0,2,4,4,5,1,0,0
"Family and Consumer Sciences Teachers, Postsecondary",1,3,2,5,1,5,5,3,4,5
"Recreation and Fitness Studies Teachers, Postsecondary",2,2,1,0,4,2,3,2,3,3
Adapted Physical Education Specialists,2,3,0,3,2,2,3,5,5,2
Librarians and Media Collections Specialists,0,2,5,2,3,4,4,5,3,3
Farm and Home Management Educators,2,5,3,5,2,5,2,3,1,5
"Mathematical Science Teachers, Postsecondary",3,3,5,5,0,3,1,0,2,3
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",3,2,5,5,2,2,2,3,0,1
"Anthropology and Archeology Teachers, Postsecondary",4,5,1,2,0,0,3,3,1,1
"Criminal Justice and Law Enforcement Teachers, Postsecondary",5,4,0,0,1,2,3,5,5,3
Mental Health Counselors,4,5,1,0,1,2,3,5,4,2
Cook,2,4,4,5,2,5,2,3,1,5
